feature,mean_abs_shap
prev_down_1,0.06139772458805934
wall_up,0.04841279968896652
prev_left_1,0.04556264883907434
wall_down,0.035096840141578045
wall_left,0.03391736052826152
prev_right_1,0.03068467746848885
human_col,0.028439897599344868
wall_right,0.024620028077423806
human_row,0.02189085141778307
prev_up_1,0.02065934331772071
monster_col,0.01799868329735285
prev_down_2,0.015055372329844096
monster_row,0.014340738476090603
prev_right_2,0.013904054418452763
prev_left_2,0.011878888608827473
prev_up_2,0.00727563706747907
